tweets,classificacao,data
"i'm at pizztop in govern valadares, min geral w/ @tue_nunes07 @andreacorreia9 @amandassantosm @newrandley",Neutro,2014-08-30
polic folg imped roub detém ladr juiz,Positivo,2014-08-31
suspeit tráf drog det r$ 22 mil juiz,Positivo,2014-09-01
"trê anos, presídi priv min geral rebel",Positivo,2014-09-02
trê hom pres suspeit roub carg sant luz,Positivo,2014-09-03
suspeit envolv roub banc sul mg pres,Positivo,2014-09-04
,Positivo,2014-09-05
govern anunc ensin integr trê escol estad triângul,Positivo,2014-09-06
"quadrilh pres tráf drog timóteo, mg",Positivo,2014-09-07
hom pres agred seguranç club trê coraçã (mg,Positivo,2014-09-08
"i'm at sal samuc in govern valadares, mg w/ @tue_nunes07 @andreacorreia9 @amandassantosm @newrandley",Neutro,2014-09-09
"rt @sytambalejy i'm at rio mai in govern valadares, min geral w/ @tue_nunes07 @newrandley @perpetuosoc @brenasunshin",Neutro,2014-09-10
trê jov 20 ano pres envolv roub unaí,Positivo,2014-09-11
oper pm prend set pesso tráf drog manten,Positivo,2014-09-12
presídi min adot nov model conseg recuper 60% pres,Positivo,2014-09-13
@pmmg190 21° bpm  piraub  pm apreend adolesc trafic drog,Positivo,2014-09-14
#timbet #glob agent presídi centroo min vão pass capacit #operacaobetalab #sigodev…,Positivo,2014-09-15
"@dibiasenev vão apaixon melhor est brasil mai mg, bem vind bh #cruzeirosempr #maiordemin",Neutro,2014-09-16
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar…,Neutro,2014-09-17
rt @falecomwallac #su sesmg convoc cole fal situ #febreamarel est @saudemg @gotassalv,Neutro,2014-09-18
"i'm at lucr cadastr serviç ltd in govern valadares, min geral w/ @tue_nunes07 @combatentemg",Neutro,2014-09-19
"grup pres tráf drog roub chácara, mg",Positivo,2014-09-20
"i'm at sorvet molh in govern valadares, min geral w/ @tue_nunes07 @andreacorreia9 @amandassantosm",Neutro,2014-09-21
"rt @desesquerd delíc monopóli postal mão estado, func bem dá lucr não, per",Neutro,2014-09-22
fiz quest public tod red soc report mostr presídi min ond 60% detent recuper,Positivo,2014-09-23
"cust r$ 21,8 milhã calamidade, govern mg compr by #marcielbmor via @c0nvey",Negativo,2014-09-24
"rt @josetomazfilh bal pimentel govern mg atras salários, abus mordom …",Negativo,2014-09-25
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalh,Neutro,2014-09-26
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar//,Neutro,2014-09-27
líd motim presídi min geral transfer,Positivo,2014-09-28
pimentel vai busc filh fest réveillon helicópter govern by #ary_antipt via @c0nvey,Negativo,2014-09-29
codevasf govern min geral discut retom convêni construç da…,Positivo,2014-09-30
"contr febr amarela, vacin oferec 'cas casa' varginha, mg",Positivo,2014-10-01
bb avis justiç govern mg recurs cont judic,Negativo,2014-10-02
"ja viaj pra outr est brasil? — já, mg",Neutro,2014-10-03
"calam financeira, govern mg compr doi helicópter by #vej via @c0nvey",Negativo,2014-10-04
"doi hom pres suspeit tráf drog caldas, mg",Positivo,2014-10-05
prefeit ribe nev decret est calam financ,Negativo,2014-10-06
vacin contr febr amarel intensific zon rural uberab,Positivo,2014-10-07
@pmmg190 21ª cia pm ind quadrilh pres após roub resid,Positivo,2014-10-08
"rt @hugotim1 #timbet #glob doi hom pres tráf drog japonvar, nort mg #operacaobetala…",Positivo,2014-10-09
govern min geral reabr teatr histór poç cald após reform restaur | secret estad,Positivo,2014-10-10
"pf, falt fiscal obr mov pod ter caus desab viadut geral est min",Neutro,2014-10-11
@pmmg190 unaí pris apreens infra drog,Positivo,2014-10-12
"banc brasil cobr min r$ 1,5 bilhã depósit judic",Negativo,2014-10-13
govern mg prev aterr estaçã lix centroo,Positivo,2014-10-14
"calam financeira, mg compr helicópter",Negativo,2014-10-15
"est mg, exemplo, 11 univers públicas, grand nom",Neutro,2014-10-16
#su min geral receb recurs máx disponibil govern feder açõ #vigilânciasanitária…,Positivo,2014-10-17
@i5gornasc #i5gornasc ufjf abr 62 vag curs govern valad,Neutro,2014-10-18
campanh prevenç febr amarel iníci córreg fund,Positivo,2014-10-19
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalh @globonews…,Neutro,2014-10-20
"new post ""govern mg expuls 117 serv 2016 infr disciplinares""",Positivo,2014-10-21
"est min gerais, concurs câm cipotâne abr oportun auxili serviç geral",Neutro,2014-10-22
"@pmmg190 coromandel apreens arm fogo, mun drog",Positivo,2014-10-23
"morr expresid irani akb rafsanjani, figurachav repúbl islâm est minas…",Neutro,2014-10-24
"calam financeira, govern mg compr doi helicópter via @uolnotic @uol",Negativo,2014-10-25
jov pres suspeit viol domést cárc uberlând,Positivo,2014-10-26
#juizdef #jfclipping_ jfclipping funcion pres guard drog fórum juiz (mg,Positivo,2014-10-27
"políci milit apreend 4,5 kg drog piangu nov serrana/mg",Positivo,2014-10-28
políci prend nov suspeit tráf drog ipating #somostodosdilm #raynni #buyraynniereonitun,Positivo,2014-10-29
rt @anacron fod entr redtub pra ver porn redirecion notíc govern tem,Neutro,2014-10-30
"tri pres suspeit roubo, tráf abus sex uberlând",Positivo,2014-10-31
@cotonew pratic hahah part famíl mg pra mim melhor est p pass brasil �,Neutro,2014-11-01
prefeit juiz apresent açõ prevenç febr amarel,Positivo,2014-11-02
rt @portalu profiss saúd trabalh descans vacin contr #febreamarel min,Positivo,2014-11-03
"rt @fernando250164 ""acord 33 car cim mim"", diz garot 16 ano vítim estupr nacion est min",Neutro,2014-11-04
presídi priv min geral nunc rebel,Positivo,2014-11-05
prefeit uberlând decret est calam financ,Negativo,2014-11-06
secret anunc profiss vacin contr febr amarel,Positivo,2014-11-07
január receb 50 mil dos vacin após mort febr amarel,Positivo,2014-11-08
campanh prevenç febr amarel iníci córreg fund,Positivo,2014-11-09
"#timbet #glob após denúncias, cão encontr drog men det mg #operacaobetalab #sigodevolt",Positivo,2014-11-10
rt @uolnotic govern min usa helicópter est busc filh fest,Negativo,2014-11-11
"pared únic soluç polít govern mg, usou helicópter públic busc",Negativo,2014-11-12
govern anunc ensin integr trê escol estad triângul #somostodosdilm #raynni #buyraynniereo…,Positivo,2014-11-13
vacin contr febr amarel intensific zon rural uberab by #bemest via @c0nvey,Positivo,2014-11-14
"@pmmg190 políci milit prend autor tent roub cacho campo, distrit our pret",Positivo,2014-11-15
"trator, produt roubo, apreend sp147 segu sent min",Positivo,2014-11-16
"@governomg est alemanh firm acord cooper desenvolv econômico, soc ambiental…",Neutro,2014-11-17
"tri pres suspeit roubo, tráf abus sex uberlând",Positivo,2014-11-18
"i'm at pic ibiturun in govern valadares, min geral",Neutro,2014-11-19
carangol edit part red companh tecnolog inform est mg prodemg,Neutro,2014-11-20
rt @minsaud #aconteceunasaúd @minsaud env 800 mil dos vacin min geral @saudemg @governomg,Positivo,2014-11-21
detranmg realiz açõ educ trânsit dur mê fever,Positivo,2014-11-22
"rt @sytambalejy i'm at big in govern valadares, min geral w/ @tue_nunes07 @estilo2d @newrandley @andreacorreia9",Neutro,2014-11-23
situ est agrav via @folha_com,Neutro,2014-11-24
polít secret est esport contempl popul idos,Neutro,2014-11-25
vacin contr febr amarel intensific zon rural uberab,Positivo,2014-11-26
"enquant isso, govern est min gerais, fern pimentel, coloc helicópter govern",Negativo,2014-11-27
govern fern pimentel entreg 401 veícul transport escol,Positivo,2014-11-28
presídi min adot nov model conseg recuper 60% pres,Positivo,2014-11-29
arm drog apreend pm bail funk január #somostodosdilm #raynni #buyraynniereonitun,Positivo,2014-11-30
@pmmg190 equip gep 128ª cia apreend drog arm taquaril,Positivo,2014-12-01
@pmmg190 políci milit intensif combat tráf drog prend trafic congonh,Positivo,2014-12-02
mg lei agricult famili complet seil ano inclus 200 agroindústr est,Positivo,2014-12-03
vere pres vai receb salári r$ 9 mil carating poli est min,Negativo,2014-12-04
"rt @ctxt_ ""yak42, 13 año ment estado"" ramón j camp siguió el cas desd el principi y lo cuent",Neutro,2014-12-05
hom pres confess roub farmác mont clar,Positivo,2014-12-06
"new post ""secret investig macac encontr mort bh contra febr amarel est minas""",Positivo,2014-12-07
@pmmg190 buritil pm prend men tráf drog,Positivo,2014-12-08
polít | #govern min fund #depósitojudic,Neutro,2014-12-09
motor cobr manifest contr inseguranç juiz #g1,Positivo,2014-12-10
políci civil identif suspeit roub ônibu juiz,Positivo,2014-12-11
"15h05atu carroxcarr br 381, bom destino, sta luz acid envolv 5 carr 3 vít est grav 2 vít fer lev",Neutro,2014-12-12
"tt morr 92 ano mari soares, figur marc polít portugu est min",Neutro,2014-12-13
rio distribu vacin contr febr amarel divis min,Positivo,2014-12-14
"políci civil flagr entreg drog celul pres divinópolis, mg",Positivo,2014-12-15
"rt @pablovillac pimentel, govern mg (e eleit pt, diss lei permit uso helicópter olha, pod ser, é…",Negativo,2014-12-16
prefeit juiz apresent açõ prevenç febr amarel secret saúd lanç document com……,Positivo,2014-12-17
rt @odelmolea reun c/ vári secret p/ discut açõ q tom volt aul red municip,Neutro,2014-12-18
@pmmg190 araguar milit prend trafic drog,Positivo,2014-12-19
"rt @markram assim gov pt povo? rales calam financeira, govern mg compr doi helicópter",Negativo,2014-12-20
profiss saúd trabalh descans vacin contr febr amarel min,Positivo,2014-12-21
"i'm at big in govern valadares, min geral w/ @tue_nunes07 @newrandley @combatentemg @brunobarreto010",Neutro,2014-12-22
prefeit uberlând decret est calam financ poli est min,Negativo,2014-12-23
"exempl apac min geral própri pres cuid seguranç e, assim, cham respons @globonew",Positivo,2014-12-24
"políci civil, mei departament trânsit min geral (detranmg, realiz açõ educ",Positivo,2014-12-25
